domain,registrar,creation_date,expiration_date,status,name_servers
xh.net,"GoDaddy.com, LLC",910155600,1604379600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
xi.net,TLDS L.L.C. d/b/a SRSPlus,808027200,1849406400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.admiral.nu"", ""ns3.admiral.nu"", ""ns1.admiral.nu""}"
xk.net,"22net, Inc.",870494400,1627790400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""jm1.dns.com"", ""jm2.dns.com""}"
xl.net,"Network Solutions, LLC",813384000,1602302400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.dreamhost.com"", ""ns3.dreamhost.com"", ""ns1.dreamhost.com""}"
xm.net,"GoDaddy.com, LLC",910846800,1605070800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
xn.net,"22net, Inc.",909550800,1856232000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.smartgslb.com"", ""ns1.smartgslb.com""}"
xo.net,MarkMonitor Inc.,888728400,1740718800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""nameserver.concentric.net"", ""nameserver3.concentric.net"", ""nameserver2.concentric.net"", ""nameserver1.concentric.net""}"
xr.net,"NameCheap, Inc.",891666000,1838347200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.bdm.microsoftonline.com"", ""ns2.bdm.microsoftonline.com""}"
xs.net,Moniker Online Services LLC,863496000,1589428800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns5.ns0.com"", ""ns123.pair.com""}"
xt.net,"eName Technology Co., Ltd.",1020189852,1651341852,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
xv.net,"eNom, LLC",901166400,1595390400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""dns3.name-services.com"", ""dns1.name-services.com"", ""dns2.name-services.com"", ""dns4.name-services.com"", ""dns5.name-services.com""}"
xx.net,"eName Technology Co., Ltd.",833515200,1622347200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
xy.net,"DreamHost, LLC",821941200,1611032400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.dreamhost.com"", ""ns3.dreamhost.com"", ""ns1.dreamhost.com""}"
y0.net,"Interlink Co., Ltd.",938276643,1601051044,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""nn.kits.ne.jp"", ""ss.kits.ne.jp""}"
y1.net,Uniregistrar Corp,953553602,1710932402,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.uniregistrymarket.link"", ""ns2.uniregistrymarket.link""}"
y2.net,"GoDaddy.com, LLC",938313811,1727318611,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.speedydns.net"", ""ns1.speedydns.net""}"
y3.net,PDR Ltd. d/b/a PublicDomainRegistry.com,982150861,1613302861,ok https://icann.org/epp#ok,"{""ns1.mytrafficmanagement.com"", ""ns2.mytrafficmanagement.com""}"
y4.net,"Alibaba Cloud Computing (Beijing) Co., Ltd.",951392748,1708775148,ok https://icann.org/epp#ok,"{""dns24.hichina.com"", ""dns23.hichina.com""}"
y5.net,"eName Technology Co., Ltd.",920869200,1615179600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
y6.net,"URL Solutions, Inc.",954157349,1616841749,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.parkingcrew.net"", ""ns2.parkingcrew.net""}"
y8.net,"eNom, LLC",938315622,1601090019,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""kia.ns.cloudflare.com"", ""trey.ns.cloudflare.com""}"
y9.net,"22net, Inc.",948312108,1611086508,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.22.cn"", ""ns2.22.cn""}"
ya.net,"Alibaba Cloud Computing (Beijing) Co., Ltd.",847515600,1636347600,ok https://icann.org/epp#ok,"{""dns24.hichina.com"", ""dns23.hichina.com""}"
yb.net,"eName Technology Co., Ltd.",900907200,1595131200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
yc.net,"Xiamen 35.Com Technology Co., Ltd.",1000404198,1600020198,ok https://icann.org/epp#ok,"{""ns1.dnbiz.com"", ""ns2.dnbiz.com""}"
