domain,registrar,creation_date,expiration_date,status,name_servers
oo.org,"Network Solutions, LLC",830664000,1588132800,ok https://icann.org/epp#ok,"{""ns8.oo.org"", ""ns9.oo.org""}"
op.org,"GoDaddy.com, LLC",802670400,1749355200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns59.domaincontrol.com"", ""ns60.domaincontrol.com""}"
oq.org,"GoDaddy.com, LLC",901252800,1595476800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
or.org,"GoDaddy.com, LLC",870321600,1596081600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""dns2.pair.com"", ""ns7.ns0.com""}"
os.org,Gandi SAS,836280000,1656648000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns6.gandi.net"", ""asgard.seastrom.com"", ""ns3.bawden.org"", ""ns1.mail0.org"", ""bifrost.seastrom.com"", ""alfheim.seastrom.com""}"
ot.org,MarkMonitor Inc.,795934800,1616562000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.scientology.net"", ""ns1.scientology.org""}"
ou.org,"Network Solutions, LLC",811483200,1631937600,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns4.p12.dynect.net"", ""ns1.p12.dynect.net"", ""ns3.p12.dynect.net"", ""ns2.p12.dynect.net""}"
ov.org,"GoDaddy.com, LLC",910846800,1605070800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
ow.org,"GoDaddy.com, LLC",909464400,1603684800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
ox.org,easyDNS Technologies Inc.,831096000,1777867200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""sns.cooperix.net"", ""nic.sandelman.ca""}"
oy.org,"GoDaddy.com, LLC",865828800,1623124800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""nsc.ntx.net"", ""nsx.ntx.net""}"
oz.org,"New Dream Network, LLC dba DreamHost Web Hosting",831787200,1620792000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.dreamhost.com"", ""ns3.dreamhost.com"", ""ns1.dreamhost.com""}"
p0.org,"GoDaddy.com, LLC",952949715,1615637715,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""anzw2yltnbuw4zyoomfs64dsn5shky.3uf4fc2ci.1.nameserver.io"", ""anzw2yltnbuw4zyoomfs64dsn5shky.3uf4fc2ci.2.nameserver.io""}"
p1.org,Uniregistrar Corp,920869200,1615179600,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
p2.org,"Network Solutions, LLC",879829200,1605589200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns54.worldnic.com"", ""ns53.worldnic.com""}"
p3.org,"eNom, Inc.",832219200,1621224000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns49.joesdns.net"", ""ns2.joesdns.net""}"
p4.org,"GoDaddy.com, LLC",1016651828,1616267828,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""donna.ns.cloudflare.com"", ""bob.ns.cloudflare.com""}"
p5.org,"NameCheap, Inc.",946546041,1609320441,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.dreamhost.com"", ""ns1.dreamhost.com""}"
p6.org,"GoDaddy.com, LLC",1042875526,1610955526,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.namefind.com"", ""ns2.namefind.com""}"
p7.org,"Name.com, Inc.",953466205,1616154205,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.theplanet.com"", ""ns1.theplanet.com""}"
p8.org,Epik Inc.,988281106,1587897106,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns4.epik.com"", ""ns3.epik.com""}"
p9.org,"GoDaddy.com, LLC",1019758712,1619374712,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
pa.org,"GoDaddy.com, LLC",782452800,1634443200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns3.inconcertweb.com"", ""ns4.inconcertweb.com""}"
pb.org,"Network Solutions, LLC",840340800,1660708800,ok https://icann.org/epp#ok,"{""pike.netdoor.com"", ""mace.netdoor.com""}"
pc.org,"PSI-USA, Inc. dba Domain Robot",906091200,1631851200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.parkingcrew.net"", ""ns2.parkingcrew.net""}"
pd.org,"Network Solutions, LLC",719467200,1602993600,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns68.worldnic.com"", ""ns67.worldnic.com""}"
pe.org,"GoDaddy.com, LLC",883458000,1610718433,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns43.domaincontrol.com"", ""ns44.domaincontrol.com""}"
pf.org,"eNom, Inc.",786862800,1607317200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.hedgehoghosting.net"", ""ns1.hedgehoghosting.net""}"
pg.org,"GoDaddy.com, LLC",907819200,1602043200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
ph.org,"GoDaddy.com, LLC",911970000,1606194000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
pi.org,"GoDaddy.com, LLC",909464400,1603684800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""pdns01.domaincontrol.com"", ""pdns02.domaincontrol.com""}"
pj.org,"GoDaddy.com, LLC",1336421517,1746648717,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dnsdun.com"", ""ns4.dnsdun.net""}"
pk.org,"NameCheap, Inc.",890370000,1805432400,ok https://icann.org/epp#ok,"{""ns1187.dns.dyn.com"", ""ns4169.dns.dyn.com"", ""ns3180.dns.dyn.com"", ""ns2173.dns.dyn.com""}"
pl.org,Uniregistrar Corp,1029177503,1755023903,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.eftydns.com"", ""ns1.eftydns.com""}"
pm.org,Tucows Inc.,872222400,1755748800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.eu.bitnames.com"", ""ns1.eu.bitnames.com"", ""ns2.us.bitnames.com"", ""ns3.us.bitnames.com"", ""ns1.us.bitnames.com"", ""ns-g1.bitnames.com""}"
pn.org,"Network Solutions, LLC",890197200,1679029200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""lbcu1.apropos-net.de"", ""dns3.apropos-net.de""}"
po.org,Moniker Online Services LLC,896241600,1590465600,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.smartname.com"", ""ns1.smartname.com""}"
pp.org,PDR Ltd. d/b/a PublicDomainRegistry.com,892699200,1618459200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
pq.org,"GoDaddy.com, LLC",847342800,1604638800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4188.dns.dyn.com"", ""ns1154.dns.dyn.com"", ""ns2172.dns.dyn.com"", ""ns3149.dns.dyn.com""}"
pr.org,Tucows Inc.,874468800,1600228800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.mytrafficmanagement.com"", ""ns2.mytrafficmanagement.com""}"
ps.org,"Network Solutions, LLC",909464400,1603684800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.pendingrenewaldeletion.com"", ""ns87.worldnic.com"", ""ns88.worldnic.com"", ""ns2.pendingrenewaldeletion.com""}"
pu.org,"GoDaddy.com, LLC",807768000,1596686400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
pv.org,"GoDaddy.com, LLC",909115200,1603339200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
pw.org,"Domain.com, LLC",828853200,1617854400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.dotster.com"", ""ns2.dotster.com""}"
px.org,"Wild West Domains, LLC",947248998,1610023398,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns14.domaincontrol.com"", ""ns13.domaincontrol.com""}"
py.org,"GoDaddy.com, LLC",920523600,1614834000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
